Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
4,M045,COAL. SCHOOL FOR SOCIAL CHANGE,SCA CIP,RENEWAL SBHC,Scope,Complete,10/14/2015,1/19/2016,10/21/2015,21600,23133,"$1,189.00 ",DSF: 0000823630
4,M045,COAL. SCHOOL FOR SOCIAL CHANGE,SCA CIP,RENEWAL SBHC,Design,In-Progress,10/28/2015,4/1/2016,,86400,86400,"$3,328.00 ",DSF: 0000823630
4,M045,COAL. SCHOOL FOR SOCIAL CHANGE,SCA CIP,RENEWAL SBHC,Construction,PNS,PNS,PNS,PNS,1620000,1620000,$502.00 ,DSF: 0000823630
4,M045,COAL. SCHOOL FOR SOCIAL CHANGE,SCA CIP,RENEWAL SBHC,"CM, F&E",PNS,PNS,PNS,PNS,100800,100800,"$6,510.00 ",DSF: 0000823630
4,M045,COAL. SCHOOL FOR SOCIAL CHANGE,DOE - Skilled Trades,CTF-ROOM CONVERSION,Construction,Complete,12/26/2013,9/30/2015,9/30/2015,DOES,515957,"$389,227.00 ",DSF: 0000777265
4,M050,P.S. 50 - MANHATTAN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Scope,Complete,9/10/2014,9/10/2014,9/10/2014,18730,10240,"$10,240.00 ",DSF: 0000785154
4,M050,P.S. 50 - MANHATTAN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Design,Complete,9/10/2014,1/9/2015,10/31/2014,74920,12585,"$12,585.00 ",DSF: 0000785154
4,M050,P.S. 50 - MANHATTAN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Construction,Complete,2/9/2015,11/5/2015,10/1/2015,1404743,1318225,"$1,225,749.00 ",DSF: 0000785154
4,M050,P.S. 50 - MANHATTAN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,"CM, F&E",Complete,2/9/2015,11/5/2015,10/1/2015,87406,9502,"$9,502.00 ",DSF: 0000785154
4,M057,P.S. 57 - MANHATTAN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,6/24/2013,12/31/2013,,DIIT,353609,$0.00 ,DSF: 0000777088
4,M072,P.S. 72,SCA CIP,AUDITORIUM UPGRADE,Scope,Complete,6/12/2012,10/12/2012,10/4/2012,22231,16676,"$16,676.00 ",DSF: 0000739811
4,M072,P.S. 72,SCA CIP,AUDITORIUM UPGRADE,Design,Complete,6/4/2014,11/4/2014,11/12/2014,88926,77159,"$22,140.00 ",DSF: 0000739811
4,M072,P.S. 72,SCA CIP,AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,1667357,1667357,"$8,852.00 ",DSF: 0000739811
4,M072,P.S. 72,SCA CIP,AUDITORIUM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,103747,103747,"$33,207.00 ",DSF: 0000739811
4,M072,P.S. 72 - MANHATTAN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Scope,Complete,1/16/2015,1/16/2015,1/16/2015,24750,337,$337.00 ,DSF: 0000785379
4,M072,P.S. 72 - MANHATTAN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Design,Complete,1/16/2015,5/18/2015,4/16/2015,70125,1852,"$1,852.00 ",DSF: 0000785379
4,M072,P.S. 72 - MANHATTAN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Construction,Complete,6/22/2015,1/17/2016,11/12/2015,944625,895337,"$754,996.00 ",DSF: 0000785379
4,M072,P.S. 72 - MANHATTAN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,"CM, F&E",Complete,6/22/2015,1/17/2016,11/12/2015,181500,38969,"$38,969.00 ",DSF: 0000785379
4,M072,P.S. 72 - MANHATTAN,SCA CIP,SCIENCE LAB UPGRADE,Scope,Complete,3/6/2015,6/19/2015,6/19/2015,22248,18886,"$18,886.00 ",DSF: 0000821804
4,M072,P.S. 72 - MANHATTAN,SCA CIP,SCIENCE LAB UPGRADE,Design,In-Progress,6/30/2015,12/2/2015,,63035,63035,"$17,608.00 ",DSF: 0000821804
4,M072,P.S. 72 - MANHATTAN,SCA CIP,SCIENCE LAB UPGRADE,Construction,PNS,PNS,PNS,PNS,849114,849114,"$9,893.00 ",DSF: 0000821804
4,M072,P.S. 72 - MANHATTAN,SCA CIP,SCIENCE LAB UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,163148,163148,"$11,176.00 ",DSF: 0000821804
4,M072,P.S. 72 - MANHATTAN,SCA CIP,PARAPETS/MASONRY/RM UPG/FLOOD/ROOF/PLAYGROUND,Scope,Complete,12/10/2013,9/29/2014,9/29/2014,234116,83003,"$83,003.00 ","DSF: 0000762771, 0000762772, 0000762773, 0000762786, 0000801023, 0000801070"
4,M072,P.S. 72 - MANHATTAN,SCA CIP,PARAPETS/MASONRY/RM UPG/FLOOD/ROOF/PLAYGROUND,Design,Complete,9/29/2014,2/18/2015,1/9/2015,882327,381315,"$356,303.00 ","DSF: 0000762771, 0000762772, 0000762773, 0000762786, 0000801023, 0000801070"
4,M072,P.S. 72 - MANHATTAN,SCA CIP,PARAPETS/MASONRY/RM UPG/FLOOD/ROOF/PLAYGROUND,Construction,In-Progress,9/21/2015,9/19/2017,,15849559,14364806,"$75,912.00 ","DSF: 0000762771, 0000762772, 0000762773, 0000762786, 0000801023, 0000801070"
4,M072,P.S. 72 - MANHATTAN,SCA CIP,PARAPETS/MASONRY/RM UPG/FLOOD/ROOF/PLAYGROUND,"CM, F&E",In-Progress,9/21/2015,9/19/2017,,1216276,93136,"$92,743.00 ","DSF: 0000762771, 0000762772, 0000762773, 0000762786, 0000801023, 0000801070"
4,M072,P.S. 72 - MANHATTAN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,Complete,6/24/2013,12/31/2013,11/6/2015,DIIT,345053,"$345,053.00 ",DSF: 0000777099
4,M072,P.S. 72 - MANHATTAN,DOE- RESOA,FY15 RESO A ELECTRICAL SYSTEMS,Construction,Complete,3/19/2015,7/2/2015,7/2/2015,145000,94860,"$94,860.00 ",DSF: 0000800453
4,M083,P.S. 83 - MANHATTAN,SCA CIP,FIRE ALARM,Scope,Complete,7/10/2013,10/8/2013,10/29/2013,20610,32456,"$32,456.00 ",DSF: 0000739877
4,M083,P.S. 83 - MANHATTAN,SCA CIP,FIRE ALARM,Design,Complete,11/6/2013,5/13/2014,6/17/2014,82440,96070,"$95,187.00 ",DSF: 0000739877
4,M083,P.S. 83 - MANHATTAN,SCA CIP,FIRE ALARM,Construction,Complete,10/6/2014,10/5/2015,10/2/2015,1545750,1444329,"$1,339,284.00 ",DSF: 0000739877
4,M083,P.S. 83 - MANHATTAN,SCA CIP,FIRE ALARM,"CM, F&E",Complete,10/6/2014,10/5/2015,10/2/2015,96180,152795,"$151,920.00 ",DSF: 0000739877
4,M083,P.S. 83 - MANHATTAN,SCA CIP,FULL PROGRAM ACCESSIBILITY,Scope,Complete,6/18/2015,11/3/2015,11/4/2015,103194,88610,"$6,702.00 ",DSF: 0000822096
4,M083,P.S. 83 - MANHATTAN,SCA CIP,FULL PROGRAM ACCESSIBILITY,Design,In-Progress,12/2/2015,5/19/2016,,412774,412774,"$13,309.00 ",DSF: 0000822096
4,M083,P.S. 83 - MANHATTAN,SCA CIP,FULL PROGRAM ACCESSIBILITY,Construction,PNS,PNS,PNS,PNS,7739513,7739513,$399.00 ,DSF: 0000822096
4,M083,P.S. 83 - MANHATTAN,SCA CIP,FULL PROGRAM ACCESSIBILITY,"CM, F&E",PNS,PNS,PNS,PNS,481570,481570,"$5,788.00 ",DSF: 0000822096
4,M083,P.S. 182 - MANHATTAN,SCA CIP RESOA,FY16 RESO A ELECTRICAL SYSTEMS,Scope,PNS,PNS,PNS,PNS,0,0,$0.00 ,DSF: 0000822278
4,M083,P.S. 182 - MANHATTAN,SCA CIP RESOA,FY16 RESO A ELECTRICAL SYSTEMS,Design,PNS,PNS,PNS,PNS,9000,9000,$0.00 ,DSF: 0000822278
4,M083,P.S. 182 - MANHATTAN,SCA CIP RESOA,FY16 RESO A ELECTRICAL SYSTEMS,Construction,PNS,PNS,PNS,PNS,132000,132000,$0.00 ,DSF: 0000822278
4,M083,P.S. 182 - MANHATTAN,SCA CIP RESOA,FY16 RESO A ELECTRICAL SYSTEMS,"CM, F&E",PNS,PNS,PNS,PNS,9000,9000,$0.00 ,DSF: 0000822278
4,M083,P.S. 83 - MANHATTAN,SCA CIP RESOA,FY16 RESO A AUDITORIUM UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0,$0.00 ,DSF: 0000822280
4,M083,P.S. 83 - MANHATTAN,SCA CIP RESOA,FY16 RESO A AUDITORIUM UPGRADE,Design,PNS,PNS,PNS,PNS,9000,9000,$0.00 ,DSF: 0000822280
4,M083,P.S. 83 - MANHATTAN,SCA CIP RESOA,FY16 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,132000,132000,$0.00 ,DSF: 0000822280
4,M083,P.S. 83 - MANHATTAN,SCA CIP RESOA,FY16 RESO A AUDITORIUM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,9000,9000,$0.00 ,DSF: 0000822280
4,M096,P.S. 96 - MANHATTAN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,6/24/2013,12/31/2013,,DIIT,280442,$0.00 ,DSF: 0000777109
4,M096,P.S. 96 - MANHATTAN,DOE - Skilled Trades,CTF-ROOM CONVERSION,Construction,In-Progress,7/25/2015,DOES,,DOES,233397,"$233,397.00 ",DSF: 0000821841
4,M099,I.S. 224 - MANHATTAN,DOE - Skilled Trades,CTF ROOM CONVERSION,Construction,Complete,6/30/2014,2/18/2015,2/18/2015,DOES,199892,"$184,907.00 ",DSF: 0000777678
4,M099,I.S. 224 - MANHATTAN,DOE - Skilled Trades,TOILETS - STUDENTS,Construction,In-Progress,8/10/2015,DOES,,DOES,83109,"$83,109.00 ",DSF: 0000808993
4,M101,P.S. 101,SCA CIP,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Scope,Complete,6/1/2012,11/1/2012,8/14/2012,61286,118262,"$113,790.00 ","DSF: 0000752346, 0000752347"
4,M101,P.S. 101,SCA CIP,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Design,Complete,8/22/2012,1/28/2013,2/8/2013,213593,317475,"$317,101.00 ","DSF: 0000752346, 0000752347"
4,M101,P.S. 101,SCA CIP,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Construction,In-Progress,7/15/2013,4/5/2015,,3444197,3206845,"$2,576,058.00 ","DSF: 0000752346, 0000752347"
4,M101,P.S. 101,SCA CIP,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,"CM, F&E",In-Progress,7/15/2013,4/5/2015,,281555,249085,"$248,711.00 ","DSF: 0000752346, 0000752347"
4,M101,PS/IS 375 - MANHATTAN,SCA CIP,IP SURVEILLANCE CAMERAS,Scope,Complete,6/27/2013,11/25/2013,1/9/2014,13671,15820,"$15,820.00 ",DSF: 0000776055
4,M101,PS/IS 375 - MANHATTAN,SCA CIP,IP SURVEILLANCE CAMERAS,Design,Complete,1/10/2014,5/15/2014,4/14/2014,41013,19117,"$19,091.00 ",DSF: 0000776055
4,M101,PS/IS 375 - MANHATTAN,SCA CIP,IP SURVEILLANCE CAMERAS,Construction,Complete,7/7/2014,5/2/2015,8/4/2015,521777,469813,"$431,407.00 ",DSF: 0000776055
4,M101,PS/IS 375 - MANHATTAN,SCA CIP,IP SURVEILLANCE CAMERAS,"CM, F&E",Complete,7/7/2014,5/2/2015,8/4/2015,216871,146807,"$142,813.00 ",DSF: 0000776055
4,M101,P.S. 101 - MANHATTAN,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,Complete,6/18/2014,1/14/2015,1/14/2015,DOEL,45484,"$45,484.00 ",DSF:
4,M101,PS/IS 375 - MANHATTAN,DOE- RESOA,FY12 RESO A PLAYGROUND REDEVELOPMEN,Construction,Complete,5/1/2014,7/23/2015,7/23/2015,1565000,1723289,"$1,723,289.00 ",DSF: 0000731644
4,M102,P.S. 102 - MANHATTAN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Scope,Complete,5/6/2014,5/6/2014,5/6/2014,22000,3878,"$3,878.00 ",DSF: 0000798366
4,M102,P.S. 102 - MANHATTAN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Design,Complete,5/6/2014,9/5/2014,9/23/2014,62334,22604,"$22,604.00 ",DSF: 0000798366
4,M102,P.S. 102 - MANHATTAN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Construction,Complete,2/9/2015,11/5/2015,10/1/2015,839674,819914,"$61,892.00 ",DSF: 0000798366
4,M102,P.S. 102 - MANHATTAN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,"CM, F&E",Complete,2/9/2015,11/5/2015,10/1/2015,161335,11598,"$11,598.00 ",DSF: 0000798366
4,M102,P.S. 102 - MANHATTAN,SCA CIP,DEFECTIVE CONCRETE BEAM FIRE PROOFING,Scope,Complete,1/21/2015,6/5/2015,6/8/2015,17653,41996,"$37,233.00 ",DSF: 0000809022
4,M102,P.S. 102 - MANHATTAN,SCA CIP,DEFECTIVE CONCRETE BEAM FIRE PROOFING,Design,In-Progress,9/9/2015,2/12/2016,,50016,50016,"$25,307.00 ",DSF: 0000809022
4,M102,P.S. 102 - MANHATTAN,SCA CIP,DEFECTIVE CONCRETE BEAM FIRE PROOFING,Construction,PNS,PNS,PNS,PNS,673739,673739,"$3,130.00 ",DSF: 0000809022
4,M102,P.S. 102 - MANHATTAN,SCA CIP,DEFECTIVE CONCRETE BEAM FIRE PROOFING,"CM, F&E",PNS,PNS,PNS,PNS,129452,129452,"$8,079.00 ",DSF: 0000809022
4,M102,P.S. 102 - MANHATTAN,DIIT - PBX Telephone,NEW/RETROFIT TELEPHONE/INTERCOM SYSTEMS,Purch & Install,In-Progress,6/24/2013,12/31/2013,,DIIX,164632,$0.00 ,DSF: 0000776253
4,M102,M169 SPED - MANHATTAN,DOE- RESOA,FY14 RESO A PLAYGROUND REDEVELOPMEN,Construction,PNS,PNS,PNS,PNS,75000,75000,$0.00 ,DSF: 0000798674
4,M108,P.S. 108 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION/PLANYC CLIMATE,Scope,Complete,10/13/2015,3/17/2016,12/22/2015,125856,13806,"$13,806.00 ","DSF: 0000798339, 0000798341"
4,M108,P.S. 108 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION/PLANYC CLIMATE,Design,In-Progress,12/31/2015,6/2/2016,,469641,469641,"$55,222.00 ","DSF: 0000798339, 0000798341"
4,M108,P.S. 108 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION/PLANYC CLIMATE,Construction,PNS,PNS,PNS,PNS,8372606,8372606,$258.00 ,"DSF: 0000798339, 0000798341"
4,M108,P.S. 108 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION/PLANYC CLIMATE,"CM, F&E",PNS,PNS,PNS,PNS,664551,664551,"$4,726.00 ","DSF: 0000798339, 0000798341"
4,M112,P.S. 112 - MANHATTAN,SCA CIP,CLIMATE CONTROL/INTERIOR/HEATINGPLNT/ELEC./FLOOD,Scope,Complete,2/6/2014,7/9/2014,4/7/2014,170010,187396,"$164,016.00 ","DSF: 0000752353, 0000799440, 0000799441, 0000799442, 0000799443"
4,M112,P.S. 112 - MANHATTAN,SCA CIP,CLIMATE CONTROL/INTERIOR/HEATINGPLNT/ELEC./FLOOD,Design,Complete,4/8/2014,9/8/2014,8/27/2014,620610,506048,"$430,260.00 ","DSF: 0000752353, 0000799440, 0000799441, 0000799442, 0000799443"
4,M112,P.S. 112 - MANHATTAN,SCA CIP,CLIMATE CONTROL/INTERIOR/HEATINGPLNT/ELEC./FLOOD,Construction,In-Progress,1/5/2015,1/3/2017,,10874460,9841988,"$2,073,868.00 ","DSF: 0000752353, 0000799440, 0000799441, 0000799442, 0000799443"
4,M112,P.S. 112 - MANHATTAN,SCA CIP,CLIMATE CONTROL/INTERIOR/HEATINGPLNT/ELEC./FLOOD,"CM, F&E",In-Progress,1/5/2015,1/3/2017,,929220,221656,"$221,558.00 ","DSF: 0000752353, 0000799440, 0000799441, 0000799442, 0000799443"
4,M112,P.S. 112 - MANHATTAN,Fast Track Projects,EMERGENCY PROTECTIVE MEASURES - HURRICANE SANDY,Construction,In-Progress,10/31/2012,FTK,,FTK,944685,"$904,118.00 ",DSF: 0000023460
4,M112,P.S. 112 - MANHATTAN,DIIT - PBX Telephone,NEW/RETROFIT TELEPHONE/INTERCOM SYSTEMS,Purch & Install,In-Progress,6/24/2013,12/31/2013,,DIIX,164632,$0.00 ,DSF: 0000776254
4,M117,I.S. 12 - MANHATTAN,SCA CIP,ROOFS/PARAPETS/EXT MASONRY,Scope,Complete,10/8/2013,2/27/2014,11/29/2013,139200,137544,"$137,490.00 ","DSF: 0000763209, 0000763210, 0000799469"
4,M117,I.S. 12 - MANHATTAN,SCA CIP,ROOFS/PARAPETS/EXT MASONRY,Design,Complete,12/13/2013,5/16/2014,5/7/2014,556800,401140,"$397,037.00 ","DSF: 0000763209, 0000763210, 0000799469"
4,M117,I.S. 12 - MANHATTAN,SCA CIP,ROOFS/PARAPETS/EXT MASONRY,Construction,In-Progress,11/12/2014,5/4/2016,,10440000,9620588,"$5,334,202.00 ","DSF: 0000763209, 0000763210, 0000799469"
4,M117,I.S. 12 - MANHATTAN,SCA CIP,ROOFS/PARAPETS/EXT MASONRY,"CM, F&E",In-Progress,11/12/2014,5/4/2016,,649600,195906,"$188,991.00 ","DSF: 0000763209, 0000763210, 0000799469"
4,M117,I.S. 12 - MANHATTAN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Scope,Complete,5/6/2014,5/6/2014,5/6/2014,20925,4081,"$4,081.00 ",DSF: 0000798304
4,M117,I.S. 12 - MANHATTAN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Design,Complete,5/6/2014,9/5/2014,9/24/2014,83700,17146,"$16,474.00 ",DSF: 0000798304
4,M117,I.S. 12 - MANHATTAN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Construction,In-Progress,4/13/2015,1/7/2016,,1569375,1469699,"$1,223,323.00 ",DSF: 0000798304
4,M117,I.S. 12 - MANHATTAN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,"CM, F&E",In-Progress,4/13/2015,1/7/2016,,97650,56656,"$55,984.00 ",DSF: 0000798304
4,M117,I.S. 372 - MANHATTAN,SCA CIP,SCIENCE LAB UPGRADE,Scope,Complete,3/14/2014,6/27/2014,6/27/2014,20391,33295,"$33,295.00 ",DSF: 0000785833
4,M117,I.S. 372 - MANHATTAN,SCA CIP,SCIENCE LAB UPGRADE,Design,Complete,7/18/2014,12/19/2014,12/17/2014,81563,102149,"$99,877.00 ",DSF: 0000785833
4,M117,I.S. 372 - MANHATTAN,SCA CIP,SCIENCE LAB UPGRADE,Construction,PNS,PNS,PNS,PNS,1529297,1529297,"$4,169.00 ",DSF: 0000785833
4,M117,I.S. 372 - MANHATTAN,SCA CIP,SCIENCE LAB UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,95156,95156,"$5,961.00 ",DSF: 0000785833
4,M117,I.S. 12 - MANHATTAN,DOE - Skilled Trades,ELEVATORS,Construction,Complete,3/10/2014,4/28/2015,4/28/2015,DOES,189638,"$186,638.00 ",DSF: 0000763207
4,M117,I.S. 12 - MANHATTAN,DOE - Skilled Trades,PLANYC OIL CONVERSION PROJECT,Construction,In-Progress,11/22/2013,DOES,,DOES,4083,"$3,083.00 ",DSF: 0000776197
4,M121,P.S. 38 - MANHATTAN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Scope,Complete,4/1/2015,4/1/2015,4/1/2015,17490,0,$0.00 ,DSF: 0000785861
4,M121,P.S. 38 - MANHATTAN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Design,Complete,4/1/2015,7/31/2015,8/5/2015,49555,0,$0.00 ,DSF: 0000785861
4,M121,P.S. 38 - MANHATTAN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Construction,In-Progress,11/16/2015,8/11/2016,,667535,635799,"$29,555.00 ",DSF: 0000785861
15,K038,P.S. 38 - BROOKLYN,SCA CIP RESOA,FY16 RESO A TOILETS - STUDENTS,Construction,PNS,PNS,PNS,PNS,246400,246400,$0.00 ,DSF: 0000822915
15,K038,P.S. 38 - BROOKLYN,SCA CIP RESOA,FY16 RESO A TOILETS - STUDENTS,"CM, F&E",PNS,PNS,PNS,PNS,16800,16800,$0.00 ,DSF: 0000822915
15,K038,P.S. 38 - BROOKLYN,DOE - Skilled Trades,TOILETS - STUDENTS,Construction,In-Progress,7/15/2015,DOES,,DOES,112314,"$101,146.00 ",DSF: 0000822134
15,K039,P.S. 39 - BROOKLYN,SCA CIP,FLOOD ELIMINATION/PAVED AREAS CONCRETE,Scope,Complete,8/26/2013,1/14/2014,1/14/2014,45220,58121,"$57,888.00 ","DSF: 0000755959, 0000755961"
15,K039,P.S. 39 - BROOKLYN,SCA CIP,FLOOD ELIMINATION/PAVED AREAS CONCRETE,Design,Complete,1/14/2014,6/16/2014,2/24/2014,147440,223694,"$152,617.00 ","DSF: 0000755959, 0000755961"
15,K039,P.S. 39 - BROOKLYN,SCA CIP,FLOOD ELIMINATION/PAVED AREAS CONCRETE,Construction,Complete,5/12/2014,3/7/2015,9/8/2015,2163720,2728763,"$2,245,744.00 ","DSF: 0000755959, 0000755961"
15,K039,P.S. 39 - BROOKLYN,SCA CIP,FLOOD ELIMINATION/PAVED AREAS CONCRETE,"CM, F&E",Complete,5/12/2014,3/7/2015,9/8/2015,272080,532689,"$512,555.00 ","DSF: 0000755959, 0000755961"
15,K039,P.S. 39 - BROOKLYN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Scope,Complete,7/6/2015,7/6/2015,7/6/2015,5310,384,$384.00 ,DSF: 0000798405
15,K039,P.S. 39 - BROOKLYN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Design,Complete,7/6/2015,11/6/2015,9/23/2015,15045,1067,"$1,067.00 ",DSF: 0000798405
15,K039,P.S. 39 - BROOKLYN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Construction,PNS,PNS,PNS,PNS,202665,202665,$114.00 ,DSF: 0000798405
15,K039,P.S. 39 - BROOKLYN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,"CM, F&E",PNS,PNS,PNS,PNS,38940,38940,"$5,495.00 ",DSF: 0000798405
15,K039,P.S. 39 - BROOKLYN,DIIT - PBX Telephone,NEW/RETROFIT TELEPHONE/INTERCOM SYSTEMS,Purch & Install,In-Progress,6/24/2013,12/31/2013,,DIIX,164632,$0.00 ,DSF: 0000776310
15,K088,I.S. 88 - BROOKLYN,SCA CIP,PLAYNYC BOILER CONVERSION/CLIMATE CONTROL,Scope,Complete,7/19/2013,12/20/2013,1/31/2014,79000,96344,"$96,344.00 ","DSF: 0000775609, 0000775610"
15,K088,I.S. 88 - BROOKLYN,SCA CIP,PLAYNYC BOILER CONVERSION/CLIMATE CONTROL,Design,In-Progress,2/3/2014,7/3/2014,,282382,282382,"$179,066.00 ","DSF: 0000775609, 0000775610"
15,K088,I.S. 88 - BROOKLYN,SCA CIP,PLAYNYC BOILER CONVERSION/CLIMATE CONTROL,Construction,PNS,PNS,PNS,PNS,4863660,4863660,"$25,485.00 ","DSF: 0000775609, 0000775610"
15,K088,I.S. 88 - BROOKLYN,SCA CIP,PLAYNYC BOILER CONVERSION/CLIMATE CONTROL,"CM, F&E",PNS,PNS,PNS,PNS,445503,445503,"$27,617.00 ","DSF: 0000775609, 0000775610"
15,K088,I.S. 88 - BROOKLYN,DIIT - RESOA,FY15 RESO A TECHNOLOGY,Purch & Install,Complete,6/30/2015,8/12/2015,9/2/2015,35000,34645,"$34,645.00 ",DSF: 0000800539
15,K088,I.S. 88 - BROOKLYN,DOE - Skilled Trades,TOILETS - STUDENTS,Construction,In-Progress,7/27/2015,DOES,,DOES,120057,$891.00 ,DSF: 0000822135
15,K088,I.S. 88 - BROOKLYN,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,12/16/2015,DOES,,DOES,124236,$432.00 ,DSF: 0000802365
15,K094,P.S. 94 - BROOKLYN,SCA CIP,DAMAGED STEPS,Scope,Complete,10/10/2013,3/3/2014,2/7/2014,9990,11544,"$11,544.00 ",DSF: 0000756679
15,K094,P.S. 94 - BROOKLYN,SCA CIP,DAMAGED STEPS,Design,Complete,4/16/2014,9/16/2014,9/19/2014,28305,58220,"$54,780.00 ",DSF: 0000756679
15,K094,P.S. 94 - BROOKLYN,SCA CIP,DAMAGED STEPS,Construction,Complete,2/4/2015,9/1/2015,9/1/2015,381285,455166,"$201,668.00 ",DSF: 0000756679
15,K094,P.S. 94 - BROOKLYN,SCA CIP,DAMAGED STEPS,"CM, F&E",Complete,2/4/2015,9/1/2015,9/1/2015,73260,69700,"$61,997.00 ",DSF: 0000756679
15,K094,P.S. 94 - BROOKLYN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Scope,Complete,2/5/2015,2/5/2015,2/5/2015,15135,1005,"$1,005.00 ",DSF: 0000779148
15,K094,P.S. 94 - BROOKLYN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Design,Complete,2/5/2015,6/5/2015,5/12/2015,60540,4629,"$4,629.00 ",DSF: 0000779148
15,K094,P.S. 94 - BROOKLYN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Construction,In-Progress,9/21/2015,6/16/2016,,1135125,1058966,"$23,647.00 ",DSF: 0000779148
15,K094,P.S. 94 - BROOKLYN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,"CM, F&E",In-Progress,9/21/2015,6/16/2016,,70630,21645,"$21,645.00 ",DSF: 0000779148
15,K094,P.S. 94 - BROOKLYN,SCA CIP RESOA,FY16 RESO A TOILETS - STUDENTS,Scope,PNS,PNS,PNS,PNS,0,0,$0.00 ,DSF: 0000822814
15,K094,P.S. 94 - BROOKLYN,SCA CIP RESOA,FY16 RESO A TOILETS - STUDENTS,Design,PNS,PNS,PNS,PNS,12000,12000,$0.00 ,DSF: 0000822814
15,K094,P.S. 94 - BROOKLYN,SCA CIP RESOA,FY16 RESO A TOILETS - STUDENTS,Construction,PNS,PNS,PNS,PNS,176000,176000,$0.00 ,DSF: 0000822814
15,K094,P.S. 94 - BROOKLYN,SCA CIP RESOA,FY16 RESO A TOILETS - STUDENTS,"CM, F&E",PNS,PNS,PNS,PNS,12000,12000,$0.00 ,DSF: 0000822814
15,K094,P.S. 94 - BROOKLYN,DIIT - RESOA,FY15 RESO A TECHNOLOGY,Purch & Install,Complete,6/30/2015,8/12/2015,9/17/2015,35000,34648,"$34,648.00 ",DSF: 0000800544
15,K107,P.S. 107 - BROOKLYN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,Complete,6/24/2013,12/31/2013,10/2/2015,DIIT,447808,"$310,762.00 ",DSF: 0000776732
15,K124,P.S. 124 - BROOKLYN,SCA CIP,FLOOD/ROOFS/PARAPETS/EXT MASONRY,Scope,Complete,4/27/2015,9/10/2015,11/2/2015,71973,61563,"$24,397.00 ","DSF: 0000802950, 0000825393, 0000825394, 0000843697"
15,K124,P.S. 124 - BROOKLYN,SCA CIP,FLOOD/ROOFS/PARAPETS/EXT MASONRY,Design,In-Progress,12/8/2015,5/10/2016,,222154,222154,"$5,074.00 ","DSF: 0000802950, 0000825393, 0000825394, 0000843697"
